feature,mean_abs_shap,is_graph_feature
V91,0.014805,False
V69,0.014206,False
C13,0.014082,False
V70,0.013992,False
C5,0.012454,False
V90,0.012107,False
C14,0.011856,False
V294,0.010182,False
card6,0.010159,False
TransactionAmt,0.008185,False
C1,0.007971,False
V29,0.007381,False
C8,0.007193,False
V30,0.007132,False
V317,0.007042,False
D1,0.006611,False
V283,0.006358,False
V49,0.006026,False
V308,0.005865,False
D15,0.005661,False
D2,0.005389,False
C10,0.005292,False
C11,0.005184,False
V258,0.005003,False
C2,0.004994,False
D3,0.004666,False
V219,0.004632,False
V318,0.004578,False
C4,0.004576,False
V48,0.004231,False
